iter	MultiClass
0	0.9918233894
1	0.9053163748
2	0.8381860931
3	0.778805358
4	0.7277644025
5	0.6865923813
6	0.6461942101
7	0.6101215439
8	0.5785245441
9	0.5507715063
10	0.5271814598
11	0.5065604708
12	0.4847765648
13	0.4651349701
14	0.4483873932
15	0.4338733009
16	0.4207750756
17	0.4104209173
18	0.3992672964
19	0.3892604904
20	0.3788607521
21	0.3709216836
22	0.3639027856
23	0.356606202
24	0.3503939777
25	0.3440749308
26	0.3383933054
27	0.3346824465
28	0.3302298235
29	0.3259795684
30	0.3225625167
31	0.3194134213
32	0.3161704996
33	0.3129378027
34	0.3099608149
35	0.3072942303
36	0.304893106
37	0.302719035
38	0.3006915529
39	0.2999623861
40	0.2977534287
41	0.2971620599
42	0.2966124367
43	0.295324379
44	0.2935718474
45	0.2918001299
46	0.2901034191
47	0.2888798541
48	0.2873739674
49	0.2871368563
50	0.2858557138
51	0.2850815656
52	0.2845909961
53	0.2834084986
54	0.282808594
55	0.2819607775
56	0.2816485742
57	0.281015032
58	0.2800873975
59	0.2794030259
60	0.278662241
61	0.2783795302
62	0.2775812782
63	0.2775555702
64	0.2770210279
65	0.2765318477
66	0.2757202778
67	0.2754267385
68	0.2749249276
69	0.2741443111
70	0.2738936326
71	0.2732222949
72	0.2723050494
73	0.2722922062
74	0.2717208298
75	0.2712044789
76	0.2707845382
77	0.2704140305
78	0.2702497744
79	0.269753247
80	0.2693923242
81	0.2689622634
82	0.2682119263
83	0.2681440831
84	0.2681439121
85	0.267655359
86	0.2673536279
87	0.2669423834
88	0.2665216826
89	0.2665047654
90	0.2659087326
91	0.2657683336
92	0.2650500123
93	0.2644785938
94	0.2642883025
95	0.2640269516
96	0.2635281219
97	0.2633138016
98	0.2632974923
99	0.26318038
100	0.2630287664
101	0.2626449556
102	0.2621124375
103	0.2615952891
104	0.2612200114
105	0.2609524909
106	0.2607165813
107	0.2605750225
108	0.2599036615
109	0.2593896608
110	0.2587297664
111	0.2582907158
112	0.2578144262
113	0.2575550479
114	0.2574466329
115	0.2569232831
116	0.256827089
117	0.256731553
118	0.256493727
119	0.2563524609
120	0.2558064116
121	0.2553564245
122	0.2547125007
123	0.2545110714
124	0.2542274202
125	0.2537703709
126	0.2533918419
127	0.2531687453
128	0.252963052
129	0.2526899466
130	0.2523689213
131	0.2521877521
132	0.2518509621
133	0.2514090891
134	0.2511855007
135	0.2509331395
