iter	Passed	Remaining
0	34	34870
1	65	32464
2	98	32801
3	128	31940
4	162	32361
5	196	32534
6	228	32439
7	261	32483
8	297	32781
9	323	31993
10	345	31050
11	367	30258
12	402	30562
13	435	30668
14	468	30734
15	502	30908
16	539	31172
17	567	30933
18	601	31050
19	635	31130
20	668	31145
21	700	31153
22	733	31165
23	769	31278
24	803	31317
25	836	31342
26	863	31130
27	884	30714
28	916	30692
29	937	30304
30	956	29904
31	995	30118
32	1029	30158
33	1062	30178
34	1093	30150
35	1125	30140
36	1154	30053
37	1188	30093
38	1215	29954
39	1226	29425
40	1257	29423
41	1270	28983
42	1302	28994
43	1323	28758
44	1355	28764
45	1388	28805
46	1421	28814
47	1452	28805
48	1486	28841
49	1498	28476
50	1532	28521
51	1555	28354
52	1573	28109
53	1607	28152
54	1643	28244
55	1677	28276
56	1729	28606
57	1798	29208
58	1831	29213
59	1864	29202
60	1889	29083
61	1920	29058
62	1953	29060
63	1980	28966
64	2011	28932
65	2036	28812
66	2067	28791
67	2099	28781
68	2133	28782
69	2165	28771
70	2196	28741
71	2230	28743
72	2265	28772
73	2279	28529
74	2311	28512
75	2328	28306
76	2361	28305
77	2396	28327
78	2428	28313
79	2459	28289
80	2494	28301
81	2530	28331
82	2566	28358
83	2600	28352
84	2612	28120
85	2643	28091
86	2675	28073
87	2695	27936
88	2727	27920
89	2739	27701
90	2772	27695
91	2805	27685
92	2838	27683
93	2871	27676
94	2906	27684
95	2922	27517
96	2953	27497
97	2983	27461
98	2994	27255
99	3023	27215
100	3053	27177
101	3085	27162
102	3116	27145
103	3153	27169
104	3187	27166
105	3217	27132
106	3249	27118
107	3281	27099
108	3313	27086
109	3346	27075
110	3386	27122
111	3420	27119
112	3452	27103
113	3487	27100
114	3521	27097
115	3558	27117
116	3592	27111
117	3625	27096
118	3660	27101
119	3691	27072
120	3724	27059
121	3758	27047
122	3790	27024
123	3825	27023
124	3860	27020
125	3896	27028
126	3930	27019
127	3974	27077
128	4009	27071
129	4041	27046
130	4074	27028
131	4106	27005
132	4140	26991
133	4173	26971
134	4205	26948
135	4238	26925
136	4270	26900
137	4303	26878
138	4335	26858
139	4370	26850
140	4404	26831
141	4436	26809
142	4469	26785
143	4506	26787
144	4539	26766
145	4574	26759
146	4609	26746
147	4647	26752
148	4682	26745
149	4720	26749
150	4788	26922
151	4831	26952
152	4867	26944
153	4909	26972
154	4948	26978
155	4986	26977
156	5024	26978
157	5058	26958
158	5131	27142
159	5177	27180
160	5210	27151
161	5242	27119
162	5276	27092
163	5309	27064
164	5342	27036
165	5374	27003
166	5409	26983
167	5442	26953
168	5476	26929
169	5515	26929
170	5553	26925
171	5594	26930
172	5630	26917
173	5667	26902
174	5700	26875
175	5733	26841
176	5765	26810
177	5799	26781
178	5832	26749
179	5863	26712
180	5897	26686
181	5937	26688
182	5979	26695
183	6017	26686
184	6055	26675
185	6094	26673
186	6136	26681
187	6170	26653
188	6203	26617
189	6235	26583
190	6268	26549
191	6300	26515
192	6333	26482
193	6370	26465
194	6403	26435
195	6436	26400
196	6478	26407
197	6513	26384
198	6549	26363
199	6584	26338
200	6619	26314
201	6653	26284
202	6686	26250
203	6718	26215
204	6755	26196
205	6789	26167
206	6822	26135
207	6854	26100
208	6888	26069
209	6924	26050
210	6957	26018
211	6991	25985
212	7024	25953
213	7057	25922
214	7096	25909
215	7130	25879
216	7166	25858
217	7199	25826
218	7232	25791
219	7264	25755
220	7299	25728
221	7332	25695
222	7364	25658
223	7398	25630
224	7432	25602
225	7467	25573
226	7502	25546
227	7539	25528
228	7576	25508
229	7612	25483
230	7647	25458
231	7681	25428
232	7714	25396
233	7747	25361
234	7780	25327
235	7813	25294
236	7846	25260
237	7879	25226
238	7913	25197
239	7946	25163
240	7981	25138
241	8014	25102
242	8047	25068
243	8079	25032
244	8111	24997
245	8145	24966
246	8177	24931
247	8210	24896
248	8243	24862
249	8275	24827
250	8308	24794
251	8341	24760
252	8377	24736
253	8414	24713
254	8446	24678
255	8483	24655
256	8519	24630
257	8556	24608
258	8590	24578
259	8625	24550
260	8659	24517
261	8692	24483
262	8724	24449
263	8756	24411
264	8791	24383
265	8823	24347
266	8856	24313
267	8888	24277
268	8922	24247
269	8955	24213
270	8988	24178
271	9021	24144
272	9053	24110
273	9087	24079
274	9120	24045
275	9157	24021
276	9191	23990
277	9224	23957
278	9257	23922
279	9290	23889
280	9324	23857
281	9357	23824
282	9390	23791
283	9422	23755
284	9463	23740
285	9503	23726
286	9545	23715
287	9606	23748
288	9656	23756
289	9709	23770
290	9753	23763
291	9796	23752
292	9832	23726
293	9869	23701
294	9904	23670
295	9936	23633
296	9971	23602
297	10007	23575
298	10040	23539
299	10072	23502
300	10108	23473
301	10144	23445
302	10179	23416
303	10214	23385
304	10244	23344
305	10278	23311
306	10311	23275
307	10344	23240
308	10379	23211
309	10414	23180
310	10445	23141
311	10482	23114
312	10517	23085
313	10552	23054
314	10587	23024
315	10621	22989
316	10654	22955
317	10686	22919
